,Car,Lap time,PS,KG,0-100,0-200,0-300,top speed,Est. downforce @ 200 kph,Est. downforce @ 250 kph,Est. downforce @ 300 kph,Drivetrain,Powertrain,Aspiration,HP,KW,Power/Weight,downforce 250 / weight,downforce 200 / weight
31,Porsche 919 Hybrid Evo,319.55,1160,829,1.8,4.1,8.5,369.0,900.0,1600.0,2400.0,AWD,Hybrid,Turbocharged,853.1800000000001,1144.1312,1.3801341375150784,1.9300361881785284,1.0856453558504222
32,Volkswagen IDR,365.36,680,1100,2.25,4.5,inf,270.0,650.0,1200.0,0.0,AWD,Electric,Electric,500.14000000000004,670.6976,0.6097250909090909,1.0909090909090908,0.5909090909090909
0,Mercedes - AMG One,389.09,1063,1620,2.7,7.0,15.6,352.0,752.0,1000.0,1352.0,AWD,Hybrid,Turbocharged,781.8365,1048.45816,0.6471963950617283,0.6172839506172839,0.4641975308641975
1,Porsche 911 GT2 RS Manthey Performance Kit (991) ,400.3,700,1420,2.6,7.8,21.5,343.0,469.0,621.0,806.0,RWD,ICE,Turbocharged,514.85,690.424,0.48621408450704223,0.4373239436619718,0.3302816901408451
2,AMG GT Black Series,408.05,730,1637,2.8,8.3,26.7,352.0,449.0,600.0,740.0,RWD,ICE,Turbocharged,536.9150000000001,720.0136,0.4398372632864997,0.3665241295051924,0.274282223579719
3,Corvette ZR1X ZTK Package,409.27,1267,1794,2.2,5.8,12.4,362.1015,381.0,484.0,608.0,AWD,Hybrid,Turbocharged,931.8785,1249.66744,0.6965816276477146,0.2697881828316611,0.21237458193979933
4,Porsche 911 GT3 RS (992) specs,409.3,585,1480,2.6,8.3,inf,296.0,509.0,785.0,0.0,RWD,ICE,Natural Aspiration,430.26750000000004,576.9972,0.389862972972973,0.5304054054054054,0.3439189189189189
5,Corvette ZR1 ZTK Package,410.76,1079,1701,2.211,5.9590000000000005,16.8,362.0,281.0,426.0,608.0,RWD,ICE,Turbocharged,793.6045,1064.23928,0.6256550734861847,0.25044091710758376,0.16519694297472076
6,Ford Mustand GTD,412.07,814,1772,2.8139999999999996,10.097999999999999,22.79,325.0,422.0,659.0,949.0,RWD,ICE,Supercharged,598.697,802.86448,0.4530837923250564,0.3718961625282167,0.2381489841986456
7,Porsche 911 GT3 RS Manthey Performance Kit (991 facelift),413.34,560,1400,2.7,9.2,inf,285.0,355.0,555.0,0.0,RWD,ICE,Natural Aspiration,411.88,552.3392,0.394528,0.3964285714285714,0.25357142857142856
8,Porsche 911 GT3 Manthey Performance Kit (992),414.74,550,1423,2.7,9.4,29.0,318.0,330.0,470.0,560.0,RWD,ICE,Natural Aspiration,404.52500000000003,542.476,0.3812199578355587,0.3302881236823612,0.23190442726633873
9,Porsche 911 GT3 (992 facelift),415.29,550,1427,2.8,9.4,29.0,314.0,300.0,450.0,520.0,RWD,ICE,Natural Aspiration,404.52500000000003,542.476,0.38015136650315345,0.3153468815697267,0.2102312543798178
21,Lamborghini Huracán Performante,416.45,650,1662,2.5,10.6,27.6,328.0,258.0,436.0,531.0,AWD,ICE,Natural Aspiration,478.07500000000005,641.108,0.3857448856799037,0.26233453670276774,0.1552346570397112
10,YangWang U9 Xtreme,419.16,3018,2480,,,,496.0,,,,AWD,Electric,Electric,2219.739,2976.71376,1.200287806451613,,
11,Porsche 911 GT3 (992),419.93,500,1646,2.9,10.2,,320.0,353.0,437.0,583.0,RWD,ICE,Natural Aspiration,367.75,493.15999999999997,0.2996111786148238,0.26549210206561363,0.21445929526123936
12,Porsche 718 Cayman GT4 RS Manthey Performance (982),423.12,500,1645,3.0,11.6,29.992499999999996,315.0,264.0,355.0,424.0,RWD,ICE,Natural Aspiration,367.75,493.15999999999997,0.2997933130699088,0.21580547112462006,0.16048632218844985
13,Porsche 911 Turbo S,423.92,711,1737,2.4,8.4,23.7,322.0,310.0,450.0,530.0,AWD,ICE,Turbocharged,522.9405,701.27352,0.40372683937823833,0.25906735751295334,0.178468624064479
14,Xiaomi SU7 Ultra,424.96,1547,2360,2.4,5.7,16.2,346.0,,,,AWD,Electric,Electric,1137.8185,1525.83704,0.6465411186440677,,
15,Rimac Nevera,425.3,1941,2150,1.8,4.4,9.2,415.0,130.0,202.0,292.0,AWD,Electric,Electric,1427.6055000000001,1914.44712,0.8904405209302326,0.09395348837209302,0.06046511627906977
16,Porsche Taycan Turbo GT Weissach Package,427.55,1108,2259,2.2,6.4,20.1,305.0,121.0,200.0,295.0,AWD,Electric,Electric,814.9340000000001,1092.84256,0.4837727135900841,0.08853474988933156,0.053563523683045594
17,Porsche 718 Cayman GT4 RS,429.3,500,1349,3.0,10.0,30.2,315.0,199.0,255.0,323.0,RWD,ICE,Natural Aspiration,367.75,493.15999999999997,0.36557449962935507,0.18902891030392885,0.1475166790214974
18,Corvette Z06 Z07 Package,431.83,679,1666,2.613,8.786999999999999,26.229999999999997,322.0,,,,RWD,ICE,Natural Aspiration,499.40450000000004,669.71128,0.4019875630252101,,
28,Lexus LFA Nurburgring Package,434.64,590,1706,3.7,11.2,21.5,326.0,82.0,128.0,184.0,RWD,ICE,Natural Aspiration,433.94500000000005,581.9288,0.3411071512309496,0.07502930832356389,0.04806565064478312
22,Mercedes benz amg gtr,435.02,600,1437,3.2,10.8,31.6,319.0,200.0,289.0,456.0,RWD,ICE,Turbocharged,441.3,591.792,0.4118246346555324,0.2011134307585247,0.13917884481558804
23,Ferrari 488 gtb,441.63,670,1667,3.2,10.1,23.9,335.0,205.0,325.0,461.0,RWD,ICE,Turbocharged,492.785,660.8344,0.39642135572885423,0.1949610077984403,0.12297540491901619
27,McLaren 650 S Spider,445.0,620,1889,3.5,10.6,23.5,329.0,64.0,100.0,144.0,RWD,ICE,Turbocharged,456.01000000000005,611.5183999999999,0.32372599258867124,0.05293806246691371,0.03388035997882478
24,Nissan GT-R (R35 530 PS),446.7,630,1867,3.2,11.1,37.0,315.0,70.0,120.0,200.0,AWD,ICE,Turbocharged,463.365,621.3815999999999,0.3328235672201392,0.06427423674343867,0.037493304767005894
